 383: #000000, #1527c6, #ea1e27, #f384ff, #ffffff
 384: #000000, #1527c6, #e13030, #f384ff, #ffffff
 385: #000000, #1527c6, #ea1539, #f384ff, #ffffff
 386: #000000, #1527c6, #ea1542, #f384ff, #ffffff
 387: #000000, #0c27c6, #7b7b00, #f384ff, #ffffff
 388: #000000, #0327c6, #7b7b00, #f384ff, #ffffff
 389: #000000, #0c27c6, #7b7b03, #f384ff, #ffffff
 390: #000000, #0327c6, #7b7b03, #f384ff, #ffffff
 391: #000000, #0c27c6, #7b7b0c, #f384ff, #ffffff
 392: #000000, #0327c6, #7b7b0c, #f384ff, #ffffff
 393: #000000, #0c27c6, #7b7b15, #f384ff, #ffffff
 394: #000000, #0327c6, #7b7b15, #f384ff, #ffffff
 395: #000000, #0c27c6, #7b7b1e, #f384ff, #ffffff
 396: #000000, #0327c6, #7b7b1e, #f384ff, #ffffff
 397: #000000, #0c27c6, #7b7b27, #f384ff, #ffffff
 398: #000000, #0327c6, #7b7b27, #f384ff, #ffffff
 399: #000000, #0c27c6, #7b7b30, #f384ff, #ffffff
 400: #000000, #0327c6, #7b7b30, #f384ff, #ffffff
 401: #000000, #0c27c6, #ea1e15, #f384ff, #ffffff
 402: #000000, #0327c6, #ea1e15, #f384ff, #ffffff
 403: #000000, #0c27c6, #ea1e0c, #f384ff, #ffffff
 404: #000000, #0c27c6, #ea1e03, #f384ff, #ffffff
 405: #000000, #0c27c6, #ea1e00, #f384ff, #ffffff
 406: #000000, #0327c6, #ea1e0c, #f384ff, #ffffff
 407: #000000, #0327c6, #ea1e03, #f384ff, #ffffff
 408: #000000, #0327c6, #ea1e00, #f384ff, #ffffff
 409: #000000, #0c27c6, #ea1e1e, #f384ff, #ffffff
 410: #000000, #0327c6, #ea1e1e, #f384ff, #ffffff
 411: #000000, #0c27c6, #ea1e27, #f384ff, #ffffff
 412: #000000, #0327c6, #ea1e27, #f384ff, #ffffff
 413: #000000, #0c27c6, #e13030, #f384ff, #ffffff
 414: #000000, #0327c6, #e13030, #f384ff, #ffffff
 415: #000000, #0c27c6, #ea1539, #f384ff, #ffffff
 416: #000000, #0327c6, #ea1539, #f384ff, #ffffff
 417: #000000, #0c27c6, #ea1542, #f384ff, #ffffff
 418: #000000, #0327c6, #ea1542, #f384ff, #ffffff
 419: #000000, #2727bd, #7b7b00, #f384ff, #ffffff
 420: #000000, #2727bd, #7b7b03, #f384ff, #ffffff
 421: #000000, #2727bd, #7b7b0c, #f384ff, #ffffff
 422: #000000, #2727bd, #7b7b15, #f384ff, #ffffff
 423: #000000, #2727bd, #7b7b1e, #f384ff, #ffffff
 424: #000000, #2727bd, #7b7b27, #f384ff, #ffffff
 425: #000000, #2727bd, #7b7b30, #f384ff, #ffffff
 426: #000000, #2727bd, #ea1e15, #f384ff, #ffffff
 427: #000000, #2727bd, #ea1e0c, #f384ff, #ffffff
 428: #000000, #2727bd, #ea1e03, #f384ff, #ffffff
 429: #000000, #2727bd, #ea1e00, #f384ff, #ffffff
 430: #000000, #2727bd, #ea1e1e, #f384ff, #ffffff
 431: #000000, #2727bd, #ea1e27, #f384ff, #ffffff
 432: #000000, #2727bd, #e13030, #f384ff, #ffffff
 433: #000000, #2727bd, #ea1539, #f384ff, #ffffff
 434: #000000, #2727bd, #ea1542, #f384ff, #ffffff
 435: #000000, #1e30b4, #7b7b00, #f384ff, #ffffff
 436: #000000, #1e30b4, #7b7b03, #f384ff, #ffffff
 437: #000000, #1e30b4, #7b7b0c, #f384ff, #ffffff
 438: #000000, #1e30b4, #7b7b15, #f384ff, #ffffff
 439: #000000, #1e30b4, #7b7b1e, #f384ff, #ffffff
 440: #000000, #1e30b4, #7b7b27, #f384ff, #ffffff
 441: #000000, #1e30b4, #7b7b30, #f384ff, #ffffff
 442: #000000, #1e30b4, #ea1e15, #f384ff, #ffffff
 443: #000000, #1e30b4, #ea1e0c, #f384ff, #ffffff
 444: #000000, #1e30b4, #ea1e03, #f384ff, #ffffff
 445: #000000, #1e30b4, #ea1e00, #f384ff, #ffffff
 446: #000000, #1e30b4, #ea1e1e, #f384ff, #ffffff
 447: #000000, #1e30b4, #ea1e27, #f384ff, #ffffff
 448: #000000, #1e30b4, #e13030, #f384ff, #ffffff
