 470: #000000, #73078c, #697b72, #dca705, #ffffff
 471: #000000, #73078c, #697b72, #dca704, #ffffff
 472: #000000, #73078c, #697b72, #dca703, #ffffff
 473: #000000, #73078c, #697b72, #dca702, #ffffff
 474: #000000, #73078c, #697b72, #dca700, #ffffff
 475: #000000, #73058d, #697b72, #dca713, #ffffff
 476: #000000, #73058d, #697b72, #dca712, #ffffff
 477: #000000, #73058d, #697b72, #dca711, #ffffff
 478: #000000, #73058d, #697b72, #dca710, #ffffff
 479: #000000, #73058d, #697b72, #dca70f, #ffffff
 480: #000000, #73058d, #697b72, #dca70e, #ffffff
 481: #000000, #73058d, #697b72, #dca70d, #ffffff
 482: #000000, #73058d, #697b72, #dca70c, #ffffff
 483: #000000, #73058d, #697b72, #dca70b, #ffffff
 484: #000000, #73058d, #697b72, #dca70a, #ffffff
 485: #000000, #73058d, #697b72, #dca709, #ffffff
