 496: #000000, #8427b4, #57ab15, #ffffff
 497: #000000, #9615a8, #57ab1e, #ffffff
 498: #000000, #9603b4, #57ab1e, #ffffff
 499: #000000, #9600b4, #57ab1e, #ffffff
 500: #000000, #960cab, #57ab1e, #ffffff
 501: #000000, #8d03c6, #57ab1e, #ffffff
 502: #000000, #8d15bd, #57ab1e, #ffffff
 503: #000000, #8d00c6, #57ab1e, #ffffff
 504: #000000, #8400d8, #57ab1e, #ffffff
 505: #000000, #840ccf, #57ab1e, #ffffff
 506: #000000, #8430a8, #57ab1e, #ffffff
 507: #000000, #8427b4, #57ab1e, #ffffff
 508: #000000, #9615a8, #57ab0c, #ffffff
 509: #000000, #9603b4, #57ab0c, #ffffff
 510: #000000, #9600b4, #57ab0c, #ffffff
 511: #000000, #960cab, #57ab0c, #ffffff
 512: #000000, #8d03c6, #57ab0c, #ffffff
 513: #000000, #8d15bd, #57ab0c, #ffffff
 514: #000000, #8d00c6, #57ab0c, #ffffff
 515: #000000, #8400d8, #57ab0c, #ffffff
 516: #000000, #840ccf, #57ab0c, #ffffff
 517: #000000, #8430a8, #57ab0c, #ffffff
 518: #000000, #8427b4, #57ab0c, #ffffff
 519: #000000, #2754ab, #ff6903, #ffffff
 520: #000000, #2754ab, #ff6900, #ffffff
 521: #000000, #2754ab, #ff690c, #ffffff
 522: #000000, #2754ab, #ff6915, #ffffff
 523: #000000, #2754ab, #ff691e, #ffffff
 524: #000000, #2754ab, #ff6927, #ffffff
 525: #000000, #2754ab, #f3721e, #ffffff
 526: #000000, #2754ab, #f37227, #ffffff
 527: #000000, #2754ab, #f37230, #ffffff
 528: #000000, #2754ab, #d8841e, #ffffff
 529: #000000, #2754ab, #d88427, #ffffff
 530: #000000, #2754ab, #d88430, #ffffff
 531: #000000, #2754ab, #c68d27, #ffffff
 532: #000000, #2754ab, #c68d39, #ffffff
 533: #000000, #2754ab, #c68d30, #ffffff
 534: #000000, #6003ff, #ff6930, #ffffff
 535: #000000, #6000ff, #ff6930, #ffffff
 536: #000000, #4227ff, #ff6930, #ffffff
 537: #000000, #5715ff, #ff6930, #ffffff
 538: #000000, #600cfc, #ff6930, #ffffff
 539: #000000, #2730ff, #ff6930, #ffffff
 540: #000000, #541efc, #ff6930, #ffffff
 541: #000000, #3030fc, #ff6930, #ffffff
 542: #000000, #5427f3, #ff6930, #ffffff
 543: #000000, #4230f3, #ff6930, #ffffff
 544: #000000, #2739f3, #ff6930, #ffffff
 545: #000000, #1e39f3, #ff6930, #ffffff
 546: #000000, #3939ea, #ff6930, #ffffff
 547: #000000, #0342ea, #ff6930, #ffffff
 548: #000000, #0042ea, #ff6930, #ffffff
 549: #000000, #4b39e1, #ff6930, #ffffff
 550: #000000, #2742e1, #ff6930, #ffffff
 551: #000000, #3942d8, #ff6930, #ffffff
 552: #000000, #1e4bcf, #ff6930, #ffffff
 553: #000000, #154bcf, #ff6930, #ffffff
 554: #000000, #304bc6, #ff6930, #ffffff
 555: #000000, #1554b4, #ff6930, #ffffff
 556: #000000, #0c54b4, #ff6930, #ffffff
 557: #000000, #0354b4, #ff6930, #ffffff
 558: #000000, #2754ab, #ff6930, #ffffff
