 536: #000000, #2442e4, #ff6912, #ffffff
 537: #000000, #2442e4, #ff690f, #ffffff
 538: #000000, #2442e4, #ff690c, #ffffff
 539: #000000, #2a3fe4, #ff6912, #ffffff
 540: #000000, #2a3fe4, #ff690f, #ffffff
 541: #000000, #2a3fe4, #ff690c, #ffffff
 542: #000000, #2a42e1, #ff6912, #ffffff
 543: #000000, #2a42e1, #ff690f, #ffffff
 544: #000000, #2a42e1, #ff690c, #ffffff
 545: #000000, #2742e1, #ff6912, #ffffff
 546: #000000, #2742e1, #ff690f, #ffffff
 547: #000000, #2742e1, #ff690c, #ffffff
 548: #000000, #2442e1, #ff6912, #ffffff
 549: #000000, #2442e1, #ff690f, #ffffff
 550: #000000, #2442e1, #ff690c, #ffffff
 551: #000000, #2a42de, #ff6912, #ffffff
 552: #000000, #2a42de, #ff690f, #ffffff
 553: #000000, #2a42de, #ff690c, #ffffff
 554: #000000, #3642db, #ff6912, #ffffff
 555: #000000, #3642db, #ff690f, #ffffff
 556: #000000, #3642db, #ff690c, #ffffff
